Date,Symbol,Prev Close,Open,High,Low,Close,vwap,Volume,Trades,Deliverable Volume,%Deliverble,MWPL,MWPL_Diff,Close_Future,FUT_VOLUME,Open Interest,Expiry,Change in OI,Close_Diff,Position
2019-09-26,METROPOLIS,1277.6,1274.95,1325.0,1272.05,1287.4,1300.4,48982,3342,25606,52.28,,,,,,,,,
2019-09-27,METROPOLIS,1287.4,1280.0,1296.0,1271.15,1277.45,1281.41,11549,845,7512,65.04,,,,,,,,,
2019-09-27,METROPOLIS,1287.4,1280.0,1296.0,1271.15,1277.45,1281.41,11549,845,7512,65.04,,,,,,,,,
2019-09-30,METROPOLIS,1277.45,1277.45,1287.0,1265.0,1272.8,1278.55,42487,1224,32913,77.47,,,,,,,,,
2019-09-30,METROPOLIS,1277.45,1277.45,1287.0,1265.0,1272.8,1278.55,42487,1224,32913,77.47,,,,,,,,,
2019-10-01,METROPOLIS,1272.8,1268.0,1282.35,1240.0,1249.45,1259.7,14662,1929,5813,39.65,,,,,,,,,
2019-10-01,METROPOLIS,1272.8,1268.0,1282.35,1240.0,1249.45,1259.7,14662,1929,5813,39.65,,,,,,,,,
2019-10-03,METROPOLIS,1249.45,1225.1,1244.6,1225.0,1238.25,1238.89,25165,3062,15453,61.41,,,,,,,,,
2019-10-03,METROPOLIS,1249.45,1225.1,1244.6,1225.0,1238.25,1238.89,25165,3062,15453,61.41,,,,,,,,,
2019-10-04,METROPOLIS,1238.25,1256.1,1269.7,1218.7,1229.6,1241.73,11120,2548,4646,41.78,,,,,,,,,
2019-10-04,METROPOLIS,1238.25,1256.1,1269.7,1218.7,1229.6,1241.73,11120,2548,4646,41.78,,,,,,,,,
2019-10-07,METROPOLIS,1229.6,1242.1,1294.95,1225.75,1254.9,1263.91,19820,3034,8409,42.43,,,,,,,,,
2019-10-07,METROPOLIS,1229.6,1242.1,1294.95,1225.75,1254.9,1263.91,19820,3034,8409,42.43,,,,,,,,,
2019-10-09,METROPOLIS,1254.9,1235.0,1300.0,1235.0,1270.1,1271.06,20511,2254,10000,48.75,,,,,,,,,
2019-10-09,METROPOLIS,1254.9,1235.0,1300.0,1235.0,1270.1,1271.06,20511,2254,10000,48.75,,,,,,,,,
2019-10-10,METROPOLIS,1270.1,1272.8,1290.0,1267.3,1275.55,1277.86,183312,2633,171531,93.57,,,,,,,,,
2019-10-10,METROPOLIS,1270.1,1272.8,1290.0,1267.3,1275.55,1277.86,183312,2633,171531,93.57,,,,,,,,,
2019-10-11,METROPOLIS,1275.55,1275.5,1294.3,1225.75,1284.2,1278.93,63438,2693,47909,75.52,,,,,,,,,
2019-10-11,METROPOLIS,1275.55,1275.5,1294.3,1225.75,1284.2,1278.93,63438,2693,47909,75.52,,,,,,,,,
2019-10-14,METROPOLIS,1284.2,1270.95,1323.95,1270.95,1282.45,1303.43,29873,2018,19335,64.72,,,,,,,,,
2019-10-14,METROPOLIS,1284.2,1270.95,1323.95,1270.95,1282.45,1303.43,29873,2018,19335,64.72,,,,,,,,,
2019-10-15,METROPOLIS,1282.45,1285.05,1292.7,1275.0,1279.75,1283.87,7265,1119,3986,54.87,,,,,,,,,
2019-10-15,METROPOLIS,1282.45,1285.05,1292.7,1275.0,1279.75,1283.87,7265,1119,3986,54.87,,,,,,,,,
2019-10-16,METROPOLIS,1279.75,1277.5,1287.65,1266.35,1274.25,1278.27,9880,1420,4065,41.14,,,,,,,,,
2019-10-16,METROPOLIS,1279.75,1277.5,1287.65,1266.35,1274.25,1278.27,9880,1420,4065,41.14,,,,,,,,,
2019-10-17,METROPOLIS,1274.25,1274.2,1279.0,1262.85,1270.65,1271.04,18064,1382,14270,79.0,,,,,,,,,
2019-10-17,METROPOLIS,1274.25,1274.2,1279.0,1262.85,1270.65,1271.04,18064,1382,14270,79.0,,,,,,,,,
2019-10-18,METROPOLIS,1270.65,1280.0,1409.95,1269.0,1364.4,1312.44,68026,6358,51729,76.04,,,,,,,,,
2019-10-18,METROPOLIS,1270.65,1280.0,1409.95,1269.0,1364.4,1312.44,68026,6358,51729,76.04,,,,,,,,,
2019-10-22,METROPOLIS,1364.4,1372.6,1404.4,1332.05,1341.75,1379.7,58823,4904,39610,67.34,,,,,,,,,
2019-10-22,METROPOLIS,1364.4,1372.6,1404.4,1332.05,1341.75,1379.7,58823,4904,39610,67.34,,,,,,,,,
2019-10-23,METROPOLIS,1341.75,1359.85,1368.0,1342.0,1356.55,1353.6,17005,1233,13913,81.82,,,,,,,,,
2019-10-23,METROPOLIS,1341.75,1359.85,1368.0,1342.0,1356.55,1353.6,17005,1233,13913,81.82,,,,,,,,,
2019-10-24,METROPOLIS,1356.55,1360.0,1370.1,1330.0,1338.1,1354.59,21405,1977,13347,62.35,,,,,,,,,
2019-10-24,METROPOLIS,1356.55,1360.0,1370.1,1330.0,1338.1,1354.59,21405,1977,13347,62.35,,,,,,,,,
2019-10-25,METROPOLIS,1338.1,1338.0,1458.0,1338.0,1408.35,1397.47,65794,4442,34557,52.52,,,,,,,,,
2019-10-25,METROPOLIS,1338.1,1338.0,1458.0,1338.0,1408.35,1397.47,65794,4442,34557,52.52,,,,,,,,,
2019-10-27,METROPOLIS,1408.35,1419.9,1475.9,1415.4,1459.15,1454.46,27716,1964,15253,55.03,,,,,,,,,
2019-10-27,METROPOLIS,1408.35,1419.9,1475.9,1415.4,1459.15,1454.46,27716,1964,15253,55.03,,,,,,,,,
2019-10-29,METROPOLIS,1459.15,1462.0,1480.0,1395.0,1440.6,1431.51,45384,5326,29000,63.9,,,,,,,,,
2019-10-29,METROPOLIS,1459.15,1462.0,1480.0,1395.0,1440.6,1431.51,45384,5326,29000,63.9,,,,,,,,,
2019-10-30,METROPOLIS,1440.6,1449.95,1473.0,1424.95,1434.2,1454.0,30533,3932,17092,55.98,,,,,,,,,
2019-10-30,METROPOLIS,1440.6,1449.95,1473.0,1424.95,1434.2,1454.0,30533,3932,17092,55.98,,,,,,,,,
2019-10-31,METROPOLIS,1434.2,1453.0,1457.0,1437.0,1447.15,1446.62,16355,2872,9388,57.4,,,,,,,,,
2019-10-31,METROPOLIS,1434.2,1453.0,1457.0,1437.0,1447.15,1446.62,16355,2872,9388,57.4,,,,,,,,,
2019-11-01,METROPOLIS,1447.15,1435.0,1451.8,1409.9,1430.2,1430.01,15595,2461,9336,59.87,,,,,,,,,
2019-11-01,METROPOLIS,1447.15,1435.0,1451.8,1409.9,1430.2,1430.01,15595,2461,9336,59.87,,,,,,,,,
2019-11-04,METROPOLIS,1430.2,1438.0,1481.2,1416.05,1450.75,1455.9,20150,3319,12296,61.02,,,,,,,,,
2019-11-04,METROPOLIS,1430.2,1438.0,1481.2,1416.05,1450.75,1455.9,20150,3319,12296,61.02,,,,,,,,,
2019-11-05,METROPOLIS,1450.75,1462.9,1462.9,1413.7,1438.95,1438.79,14837,2154,7957,53.63,,,,,,,,,
2019-11-05,METROPOLIS,1450.75,1462.9,1462.9,1413.7,1438.95,1438.79,14837,2154,7957,53.63,,,,,,,,,
2019-11-06,METROPOLIS,1438.95,1488.0,1488.0,1395.0,1404.85,1419.33,21503,3578,11143,51.82,,,,,,,,,
2019-11-06,METROPOLIS,1438.95,1488.0,1488.0,1395.0,1404.85,1419.33,21503,3578,11143,51.82,,,,,,,,,
2019-11-07,METROPOLIS,1404.85,1415.6,1430.6,1375.0,1386.5,1395.36,11121,1770,5248,47.19,,,,,,,,,
2019-11-07,METROPOLIS,1404.85,1415.6,1430.6,1375.0,1386.5,1395.36,11121,1770,5248,47.19,,,,,,,,,
2019-11-08,METROPOLIS,1386.5,1386.5,1401.05,1336.6,1357.1,1383.76,39691,7747,24398,61.47,,,,,,,,,
2019-11-08,METROPOLIS,1386.5,1386.5,1401.05,1336.6,1357.1,1383.76,39691,7747,24398,61.47,,,,,,,,,
2019-11-11,METROPOLIS,1357.1,1385.0,1423.3,1384.5,1399.05,1400.31,34788,5528,21613,62.13,,,,,,,,,
2019-11-11,METROPOLIS,1357.1,1385.0,1423.3,1384.5,1399.05,1400.31,34788,5528,21613,62.13,,,,,,,,,
2019-11-13,METROPOLIS,1399.05,1426.0,1434.95,1383.5,1397.5,1409.06,82621,10313,53471,64.72,,,,,,,,,
2019-11-13,METROPOLIS,1399.05,1426.0,1434.95,1383.5,1397.5,1409.06,82621,10313,53471,64.72,,,,,,,,,
2019-11-14,METROPOLIS,1397.5,1414.0,1415.65,1385.75,1396.0,1399.43,51396,6360,40207,78.23,,,,,,,,,
2019-11-14,METROPOLIS,1397.5,1414.0,1415.65,1385.75,1396.0,1399.43,51396,6360,40207,78.23,,,,,,,,,
2019-11-15,METROPOLIS,1396.0,1395.0,1425.0,1363.8,1377.2,1391.27,30303,3436,17052,56.27,,,,,,,,,
2019-11-15,METROPOLIS,1396.0,1395.0,1425.0,1363.8,1377.2,1391.27,30303,3436,17052,56.27,,,,,,,,,
2019-11-18,METROPOLIS,1377.2,1380.0,1409.9,1380.0,1391.8,1395.5,17968,2847,12367,68.83,,,,,,,,,
2019-11-18,METROPOLIS,1377.2,1380.0,1409.9,1380.0,1391.8,1395.5,17968,2847,12367,68.83,,,,,,,,,
2019-11-19,METROPOLIS,1391.8,1404.0,1440.0,1383.05,1407.45,1403.47,49588,4873,34563,69.7,,,,,,,,,
2019-11-19,METROPOLIS,1391.8,1404.0,1440.0,1383.05,1407.45,1403.47,49588,4873,34563,69.7,,,,,,,,,
2019-11-20,METROPOLIS,1407.45,1408.95,1460.0,1408.65,1435.7,1441.95,75440,7731,46351,61.44,,,,,,,,,
2019-11-20,METROPOLIS,1407.45,1408.95,1460.0,1408.65,1435.7,1441.95,75440,7731,46351,61.44,,,,,,,,,
2019-11-21,METROPOLIS,1435.7,1445.25,1447.9,1425.0,1438.9,1438.65,25655,3830,17971,70.05,,,,,,,,,
2019-11-21,METROPOLIS,1435.7,1445.25,1447.9,1425.0,1438.9,1438.65,25655,3830,17971,70.05,,,,,,,,,
2019-11-22,METROPOLIS,1438.9,1448.5,1448.5,1402.65,1424.85,1419.75,17066,2434,11868,69.54,,,,,,,,,
2019-11-22,METROPOLIS,1438.9,1448.5,1448.5,1402.65,1424.85,1419.75,17066,2434,11868,69.54,,,,,,,,,
2019-11-25,METROPOLIS,1424.85,1432.7,1432.7,1385.55,1417.3,1408.17,35954,2777,27970,77.79,,,,,,,,,
2019-11-25,METROPOLIS,1424.85,1432.7,1432.7,1385.55,1417.3,1408.17,35954,2777,27970,77.79,,,,,,,,,
2019-11-26,METROPOLIS,1417.3,1417.3,1442.95,1345.0,1426.15,1428.29,225379,21786,199186,88.38,,,,,,,,,
2019-11-26,METROPOLIS,1417.3,1417.3,1442.95,1345.0,1426.15,1428.29,225379,21786,199186,88.38,,,,,,,,,
2019-11-27,METROPOLIS,1426.15,1399.9,1413.9,1375.25,1401.45,1390.96,35700,4516,22347,62.6,,,,,,,,,
2019-11-27,METROPOLIS,1426.15,1399.9,1413.9,1375.25,1401.45,1390.96,35700,4516,22347,62.6,,,,,,,,,
2019-11-28,METROPOLIS,1401.45,1402.1,1414.05,1373.35,1402.55,1395.14,21983,3548,12303,55.97,,,,,,,,,
2019-11-28,METROPOLIS,1401.45,1402.1,1414.05,1373.35,1402.55,1395.14,21983,3548,12303,55.97,,,,,,,,,
2019-11-29,METROPOLIS,1402.55,1406.95,1406.95,1380.0,1394.75,1390.36,17555,2814,10223,58.23,,,,,,,,,
2019-11-29,METROPOLIS,1402.55,1406.95,1406.95,1380.0,1394.75,1390.36,17555,2814,10223,58.23,,,,,,,,,
2019-12-02,METROPOLIS,1394.75,1385.0,1408.4,1365.0,1374.65,1378.28,13402,1510,7944,59.27,,,,,,,,,
2019-12-02,METROPOLIS,1394.75,1385.0,1408.4,1365.0,1374.65,1378.28,13402,1510,7944,59.27,,,,,,,,,
2019-12-03,METROPOLIS,1374.65,1376.0,1404.95,1374.45,1389.2,1388.97,31735,5900,19159,60.37,,,,,,,,,
2019-12-03,METROPOLIS,1374.65,1376.0,1404.95,1374.45,1389.2,1388.97,31735,5900,19159,60.37,,,,,,,,,
2019-12-04,METROPOLIS,1389.2,1384.0,1393.0,1366.0,1371.35,1372.57,23658,2931,15942,67.39,,,,,,,,,
2019-12-04,METROPOLIS,1389.2,1384.0,1393.0,1366.0,1371.35,1372.57,23658,2931,15942,67.39,,,,,,,,,
2019-12-05,METROPOLIS,1371.35,1370.1,1380.3,1350.0,1363.65,1361.7,20443,1864,11463,56.07,,,,,,,,,
2019-12-05,METROPOLIS,1371.35,1370.1,1380.3,1350.0,1363.65,1361.7,20443,1864,11463,56.07,,,,,,,,,
2019-12-06,METROPOLIS,1363.65,1371.7,1375.0,1350.0,1358.3,1363.73,19886,2916,8193,41.2,,,,,,,,,
2019-12-06,METROPOLIS,1363.65,1371.7,1375.0,1350.0,1358.3,1363.73,19886,2916,8193,41.2,,,,,,,,,
2019-12-09,METROPOLIS,1358.3,1358.3,1365.0,1332.0,1341.8,1345.45,26846,2786,18015,67.1,,,,,,,,,
2019-12-09,METROPOLIS,1358.3,1358.3,1365.0,1332.0,1341.8,1345.45,26846,2786,18015,67.1,,,,,,,,,
2019-12-10,METROPOLIS,1341.8,1342.7,1350.4,1250.0,1287.6,1287.45,80424,6499,53255,66.22,,,,,,,,,
2019-12-10,METROPOLIS,1341.8,1342.7,1350.4,1250.0,1287.6,1287.45,80424,6499,53255,66.22,,,,,,,,,
2019-12-11,METROPOLIS,1287.6,1272.0,1300.0,1263.7,1292.4,1287.2,38894,8313,25205,64.8,,,,,,,,,
2019-12-11,METROPOLIS,1287.6,1272.0,1300.0,1263.7,1292.4,1287.2,38894,8313,25205,64.8,,,,,,,,,
2019-12-12,METROPOLIS,1292.4,1283.0,1313.05,1270.55,1290.4,1292.86,30041,8637,21183,70.51,,,,,,,,,
2019-12-12,METROPOLIS,1292.4,1283.0,1313.05,1270.55,1290.4,1292.86,30041,8637,21183,70.51,,,,,,,,,
2019-12-13,METROPOLIS,1290.4,1291.0,1299.8,1256.85,1294.8,1288.57,43491,8547,29249,67.25,,,,,,,,,
2019-12-13,METROPOLIS,1290.4,1291.0,1299.8,1256.85,1294.8,1288.57,43491,8547,29249,67.25,,,,,,,,,
2019-12-16,METROPOLIS,1294.8,1275.55,1298.0,1275.1,1289.9,1289.25,41860,3982,30113,71.94,,,,,,,,,
2019-12-16,METROPOLIS,1294.8,1275.55,1298.0,1275.1,1289.9,1289.25,41860,3982,30113,71.94,,,,,,,,,
2019-12-17,METROPOLIS,1289.9,1282.65,1299.5,1276.25,1288.55,1284.48,46738,6668,36355,77.78,,,,,,,,,
2019-12-17,METROPOLIS,1289.9,1282.65,1299.5,1276.25,1288.55,1284.48,46738,6668,36355,77.78,,,,,,,,,
2019-12-18,METROPOLIS,1288.55,1305.0,1320.0,1282.45,1306.5,1300.28,43552,5246,27640,63.46,,,,,,,,,
2019-12-18,METROPOLIS,1288.55,1305.0,1320.0,1282.45,1306.5,1300.28,43552,5246,27640,63.46,,,,,,,,,
2019-12-19,METROPOLIS,1306.5,1309.0,1338.0,1286.05,1327.45,1317.92,55131,5957,28102,50.97,,,,,,,,,
2019-12-19,METROPOLIS,1306.5,1309.0,1338.0,1286.05,1327.45,1317.92,55131,5957,28102,50.97,,,,,,,,,
2019-12-20,METROPOLIS,1327.45,1318.3,1326.9,1295.4,1320.75,1314.71,61836,6113,38031,61.5,,,,,,,,,
2019-12-20,METROPOLIS,1327.45,1318.3,1326.9,1295.4,1320.75,1314.71,61836,6113,38031,61.5,,,,,,,,,
2019-12-23,METROPOLIS,1320.75,1325.0,1347.4,1302.6,1338.6,1332.69,36675,4908,17038,46.46,,,,,,,,,
2019-12-23,METROPOLIS,1320.75,1325.0,1347.4,1302.6,1338.6,1332.69,36675,4908,17038,46.46,,,,,,,,,
2019-12-24,METROPOLIS,1338.6,1324.0,1388.0,1314.3,1377.8,1360.81,37050,3237,15406,41.58,,,,,,,,,
2019-12-24,METROPOLIS,1338.6,1324.0,1388.0,1314.3,1377.8,1360.81,37050,3237,15406,41.58,,,,,,,,,
2019-12-26,METROPOLIS,1377.8,1377.2,1404.4,1361.95,1383.25,1384.92,28360,3287,10444,36.83,,,,,,,,,
2019-12-26,METROPOLIS,1377.8,1377.2,1404.4,1361.95,1383.25,1384.92,28360,3287,10444,36.83,,,,,,,,,
2019-12-27,METROPOLIS,1383.25,1362.05,1434.5,1362.05,1420.65,1409.54,27016,2782,14422,53.38,,,,,,,,,
2019-12-27,METROPOLIS,1383.25,1362.05,1434.5,1362.05,1420.65,1409.54,27016,2782,14422,53.38,,,,,,,,,
2019-12-30,METROPOLIS,1420.65,1410.0,1445.0,1410.0,1436.95,1436.48,11624,1441,5465,47.01,,,,,,,,,
2019-12-30,METROPOLIS,1420.65,1410.0,1445.0,1410.0,1436.95,1436.48,11624,1441,5465,47.01,,,,,,,,,
2019-12-31,METROPOLIS,1436.95,1436.95,1465.0,1406.8,1451.55,1438.87,43034,8617,18319,42.57,,,,,,,,,
2019-12-31,METROPOLIS,1436.95,1436.95,1465.0,1406.8,1451.55,1438.87,43034,8617,18319,42.57,,,,,,,,,
2020-01-01,METROPOLIS,1451.55,1430.2,1468.0,1426.8,1434.65,1447.6,18404,2723,6053,32.89,,,,,,,,,
2020-01-01,METROPOLIS,1451.55,1430.2,1468.0,1426.8,1434.65,1447.6,18404,2723,6053,32.89,,,,,,,,,
2020-01-02,METROPOLIS,1434.65,1443.65,1444.55,1399.0,1407.65,1419.89,10157,1658,3384,33.32,,,,,,,,,
2020-01-02,METROPOLIS,1434.65,1443.65,1444.55,1399.0,1407.65,1419.89,10157,1658,3384,33.32,,,,,,,,,
2020-01-03,METROPOLIS,1407.65,1427.0,1427.0,1395.0,1403.8,1404.13,14950,2459,7700,51.51,,,,,,,,,
2020-01-03,METROPOLIS,1407.65,1427.0,1427.0,1395.0,1403.8,1404.13,14950,2459,7700,51.51,,,,,,,,,
2020-01-06,METROPOLIS,1403.8,1385.55,1401.95,1340.0,1349.7,1374.33,21734,2137,10769,49.55,,,,,,,,,
2020-01-06,METROPOLIS,1403.8,1385.55,1401.95,1340.0,1349.7,1374.33,21734,2137,10769,49.55,,,,,,,,,
2020-01-07,METROPOLIS,1349.7,1352.0,1429.9,1352.0,1416.35,1403.2,29680,4796,13304,44.82,,,,,,,,,
2020-01-07,METROPOLIS,1349.7,1352.0,1429.9,1352.0,1416.35,1403.2,29680,4796,13304,44.82,,,,,,,,,
2020-01-08,METROPOLIS,1416.35,1409.0,1525.0,1381.1,1495.35,1487.46,160354,14654,69190,43.15,,,,,,,,,
2020-01-08,METROPOLIS,1416.35,1409.0,1525.0,1381.1,1495.35,1487.46,160354,14654,69190,43.15,,,,,,,,,
2020-01-09,METROPOLIS,1495.35,1525.0,1595.0,1501.0,1580.35,1558.93,135413,13965,60018,44.32,,,,,,,,,
2020-01-09,METROPOLIS,1495.35,1525.0,1595.0,1501.0,1580.35,1558.93,135413,13965,60018,44.32,,,,,,,,,
2020-01-10,METROPOLIS,1580.35,1580.35,1638.0,1573.6,1622.3,1611.9,76925,6708,34971,45.46,,,,,,,,,
2020-01-10,METROPOLIS,1580.35,1580.35,1638.0,1573.6,1622.3,1611.9,76925,6708,34971,45.46,,,,,,,,,
2020-01-13,METROPOLIS,1622.3,1629.0,1719.95,1605.4,1696.3,1669.34,78584,7493,26676,33.95,,,,,,,,,
2020-01-13,METROPOLIS,1622.3,1629.0,1719.95,1605.4,1696.3,1669.34,78584,7493,26676,33.95,,,,,,,,,
2020-01-14,METROPOLIS,1696.3,1690.0,1700.0,1666.2,1694.95,1692.11,33355,3541,16940,50.79,,,,,,,,,
2020-01-14,METROPOLIS,1696.3,1690.0,1700.0,1666.2,1694.95,1692.11,33355,3541,16940,50.79,,,,,,,,,
2020-01-15,METROPOLIS,1694.95,1670.05,1718.8,1661.1,1667.6,1684.42,32594,3759,13363,41.0,,,,,,,,,
2020-01-15,METROPOLIS,1694.95,1670.05,1718.8,1661.1,1667.6,1684.42,32594,3759,13363,41.0,,,,,,,,,
2020-01-16,METROPOLIS,1667.6,1681.45,1689.8,1615.0,1626.05,1649.49,26743,3046,13506,50.5,,,,,,,,,
2020-01-16,METROPOLIS,1667.6,1681.45,1689.8,1615.0,1626.05,1649.49,26743,3046,13506,50.5,,,,,,,,,
2020-01-17,METROPOLIS,1626.05,1636.0,1675.0,1634.9,1653.1,1660.21,33697,6611,15642,46.42,,,,,,,,,
2020-01-17,METROPOLIS,1626.05,1636.0,1675.0,1634.9,1653.1,1660.21,33697,6611,15642,46.42,,,,,,,,,
2020-01-20,METROPOLIS,1653.1,1667.25,1695.0,1650.6,1667.2,1670.21,14055,1791,5561,39.57,,,,,,,,,
2020-01-20,METROPOLIS,1653.1,1667.25,1695.0,1650.6,1667.2,1670.21,14055,1791,5561,39.57,,,,,,,,,
2020-01-21,METROPOLIS,1667.2,1677.0,1677.0,1615.0,1643.6,1637.42,34602,2681,12916,37.33,,,,,,,,,
2020-01-21,METROPOLIS,1667.2,1677.0,1677.0,1615.0,1643.6,1637.42,34602,2681,12916,37.33,,,,,,,,,
2020-01-22,METROPOLIS,1643.6,1659.95,1678.0,1625.0,1643.75,1657.34,19691,2022,9850,50.02,,,,,,,,,
2020-01-22,METROPOLIS,1643.6,1659.95,1678.0,1625.0,1643.75,1657.34,19691,2022,9850,50.02,,,,,,,,,
2020-01-23,METROPOLIS,1643.75,1621.05,1701.6,1621.05,1671.0,1679.12,43112,4848,21850,50.68,,,,,,,,,
2020-01-23,METROPOLIS,1643.75,1621.05,1701.6,1621.05,1671.0,1679.12,43112,4848,21850,50.68,,,,,,,,,
2020-01-24,METROPOLIS,1671.0,1660.0,1707.2,1641.0,1675.05,1674.62,31668,4014,14547,45.94,,,,,,,,,
2020-01-24,METROPOLIS,1671.0,1660.0,1707.2,1641.0,1675.05,1674.62,31668,4014,14547,45.94,,,,,,,,,
2020-01-27,METROPOLIS,1675.05,1710.0,1730.0,1625.0,1634.4,1686.72,42540,4472,20216,47.52,,,,,,,,,
2020-01-27,METROPOLIS,1675.05,1710.0,1730.0,1625.0,1634.4,1686.72,42540,4472,20216,47.52,,,,,,,,,
2020-01-28,METROPOLIS,1634.4,1649.0,1690.0,1635.1,1660.6,1662.59,30888,3587,14351,46.46,,,,,,,,,
2020-01-28,METROPOLIS,1634.4,1649.0,1690.0,1635.1,1660.6,1662.59,30888,3587,14351,46.46,,,,,,,,,
2020-01-29,METROPOLIS,1660.6,1665.0,1710.0,1662.25,1680.85,1684.04,28297,3221,17196,60.77,,,,,,,,,
2020-01-29,METROPOLIS,1660.6,1665.0,1710.0,1662.25,1680.85,1684.04,28297,3221,17196,60.77,,,,,,,,,
2020-01-30,METROPOLIS,1680.85,1689.95,1700.05,1649.9,1653.95,1666.72,14529,1632,9690,66.69,,,,,,,,,
2020-01-30,METROPOLIS,1680.85,1689.95,1700.05,1649.9,1653.95,1666.72,14529,1632,9690,66.69,,,,,,,,,
2020-01-31,METROPOLIS,1653.95,1660.0,1682.45,1642.0,1654.6,1665.2,12613,1824,5052,40.05,,,,,,,,,
2020-01-31,METROPOLIS,1653.95,1660.0,1682.45,1642.0,1654.6,1665.2,12613,1824,5052,40.05,,,,,,,,,
2020-02-01,METROPOLIS,1654.6,1664.0,1725.0,1645.0,1662.75,1689.6,27605,2451,10250,37.13,,,,,,,,,
2020-02-01,METROPOLIS,1654.6,1664.0,1725.0,1645.0,1662.75,1689.6,27605,2451,10250,37.13,,,,,,,,,
2020-02-03,METROPOLIS,1662.75,1650.0,1725.0,1645.0,1665.8,1678.91,23306,2996,8926,38.3,,,,,,,,,
2020-02-03,METROPOLIS,1662.75,1650.0,1725.0,1645.0,1665.8,1678.91,23306,2996,8926,38.3,,,,,,,,,
2020-02-04,METROPOLIS,1665.8,1690.0,1715.0,1635.0,1658.6,1662.6,32970,3761,16666,50.55,,,,,,,,,
2020-02-04,METROPOLIS,1665.8,1690.0,1715.0,1635.0,1658.6,1662.6,32970,3761,16666,50.55,,,,,,,,,
2020-02-05,METROPOLIS,1658.6,1652.0,1684.0,1642.05,1660.15,1657.75,22775,3370,13208,57.99,,,,,,,,,
2020-02-05,METROPOLIS,1658.6,1652.0,1684.0,1642.05,1660.15,1657.75,22775,3370,13208,57.99,,,,,,,,,
2020-02-06,METROPOLIS,1660.15,1665.0,1675.0,1515.0,1586.25,1580.0,75679,6548,37314,49.31,,,,,,,,,
2020-02-06,METROPOLIS,1660.15,1665.0,1675.0,1515.0,1586.25,1580.0,75679,6548,37314,49.31,,,,,,,,,
2020-02-07,METROPOLIS,1586.25,1637.7,1678.8,1626.0,1660.5,1651.81,97985,10615,39046,39.85,,,,,,,,,
2020-02-07,METROPOLIS,1586.25,1637.7,1678.8,1626.0,1660.5,1651.81,97985,10615,39046,39.85,,,,,,,,,
2020-02-10,METROPOLIS,1660.5,1660.0,1660.0,1585.55,1616.55,1613.63,37991,4411,23047,60.66,,,,,,,,,
2020-02-10,METROPOLIS,1660.5,1660.0,1660.0,1585.55,1616.55,1613.63,37991,4411,23047,60.66,,,,,,,,,
2020-02-11,METROPOLIS,1616.55,1621.05,1725.0,1602.25,1692.2,1686.21,58679,5994,24367,41.53,,,,,,,,,
2020-02-11,METROPOLIS,1616.55,1621.05,1725.0,1602.25,1692.2,1686.21,58679,5994,24367,41.53,,,,,,,,,
2020-02-12,METROPOLIS,1692.2,1704.65,1857.9,1660.2,1839.8,1784.16,169619,13136,52709,31.07,,,,,,,,,
2020-02-12,METROPOLIS,1692.2,1704.65,1857.9,1660.2,1839.8,1784.16,169619,13136,52709,31.07,,,,,,,,,
2020-02-13,METROPOLIS,1839.8,1839.9,1950.0,1802.25,1818.15,1864.17,122971,11865,43481,35.36,,,,,,,,,
2020-02-13,METROPOLIS,1839.8,1839.9,1950.0,1802.25,1818.15,1864.17,122971,11865,43481,35.36,,,,,,,,,
2020-02-14,METROPOLIS,1818.15,1840.0,1888.0,1751.0,1769.65,1817.72,56399,6031,20867,37.0,,,,,,,,,
2020-02-14,METROPOLIS,1818.15,1840.0,1888.0,1751.0,1769.65,1817.72,56399,6031,20867,37.0,,,,,,,,,
2020-02-17,METROPOLIS,1769.65,1771.0,1785.0,1720.0,1749.55,1740.13,31018,2888,13349,43.04,,,,,,,,,
2020-02-17,METROPOLIS,1769.65,1771.0,1785.0,1720.0,1749.55,1740.13,31018,2888,13349,43.04,,,,,,,,,
2020-02-18,METROPOLIS,1749.55,1750.0,1848.0,1739.95,1825.5,1807.51,59062,6407,22352,37.84,,,,,,,,,
2020-02-18,METROPOLIS,1749.55,1750.0,1848.0,1739.95,1825.5,1807.51,59062,6407,22352,37.84,,,,,,,,,
2020-02-19,METROPOLIS,1825.5,1840.2,1891.95,1811.5,1825.85,1845.25,67547,7477,30747,45.52,,,,,,,,,
2020-02-19,METROPOLIS,1825.5,1840.2,1891.95,1811.5,1825.85,1845.25,67547,7477,30747,45.52,,,,,,,,,
2020-02-20,METROPOLIS,1825.85,1842.0,1856.3,1780.0,1827.65,1821.37,38509,5531,16965,44.05,,,,,,,,,
2020-02-20,METROPOLIS,1825.85,1842.0,1856.3,1780.0,1827.65,1821.37,38509,5531,16965,44.05,,,,,,,,,
2020-02-24,METROPOLIS,1827.65,1815.0,1854.95,1765.1,1780.95,1810.61,22857,5795,13569,59.36,,,,,,,,,
2020-02-24,METROPOLIS,1827.65,1815.0,1854.95,1765.1,1780.95,1810.61,22857,5795,13569,59.36,,,,,,,,,
2020-02-25,METROPOLIS,1780.95,1795.0,1834.0,1776.1,1813.5,1812.13,28969,3730,13751,47.47,,,,,,,,,
2020-02-25,METROPOLIS,1780.95,1795.0,1834.0,1776.1,1813.5,1812.13,28969,3730,13751,47.47,,,,,,,,,
